Mon Nov 29 15:34:23 2021    output.dat

         47845633 function calls (47038913 primitive calls) in 40.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9920    0.035    0.000    0.071    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\_methods.py:72(_clip_dep_is_scalar_nan)
    15563    0.035    0.000    0.101    0.000 {built-in method builtins.sorted}
    21189    0.035    0.000    0.435    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1992(rotate_deg_around)
    43982    0.034    0.000    0.196    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:2589(amax)
    22044    0.034    0.000    0.353    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1203(set_markerfacecolor)
    22044    0.034    0.000    0.071    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1358(set_dash_capstyle)
34169/13645    0.034    0.000    1.915    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:831(get_xaxis_transform)
    36436    0.034    0.000    0.046    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\deprecation.py:476(deprecate_method_override)
    39534    0.034    0.000    0.341    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:150(_check_color_like)
    91622    0.033    0.000    0.096    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:193(convert_xunits)
     4960    0.033    0.000    0.206    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:487(transformed)
    48116    0.033    0.000    0.194    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:993(set_visible)
    10293    0.033    0.000    0.181    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\stride_tricks.py:204(broadcast_arrays)
    28499    0.033    0.000    0.091    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1829(transform_affine)
    25093    0.033    0.000    0.052    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1312(is_math_text)
