Mon Nov 29 09:44:32 2021    output.dat

         45699553 function calls (44755293 primitive calls) in 48.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42011    0.037    0.000    0.127    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:713(set_figure)
    43252    0.037    0.000    0.466    0.000 <__array_function__ internals>:2(any)
     2765    0.037    0.000    0.037    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
   250531    0.037    0.000    0.037    0.000 {method 'endswith' of 'str' objects}
    66558    0.036    0.000    0.692    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\figure.py:50(_stale_figure_callback)
    27672    0.036    0.000    0.073    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:1187(set_verticalalignment)
    14830    0.035    0.000    0.190    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:929(set_color)
    52539    0.035    0.000    0.417    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1315(__add__)
    17772    0.034    0.000    0.086    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:764(_convert_units)
    18838    0.034    0.000    0.230    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1045(set_color)
    96813    0.034    0.000    0.087    0.000 D:\Programs\Conda\lib\abc.py:96(__instancecheck__)
    34162    0.034    0.000    0.069    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:804(set_variant)
     8750    0.034    0.000    0.035    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\stride_tricks.py:183(_broadcast_shape)
28584/11520    0.034    0.000    1.620    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:907(get_yaxis_transform)
     6776    0.034    0.000    0.034    0.000 {method 'round' of 'numpy.ndarray' objects}
     6397    0.033    0.000    0.099    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:751(__init__)
    31642    0.033    0.000    0.421    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\population.py:18(populate)
28314/11370    0.033    0.000    1.631    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:831(get_xaxis_transform)
   218247    0.033    0.000    0.033    0.000 {method 'lower' of 'str' objects}
    36749    0.033    0.000    0.149    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:377(set_transform)
    10367    0.032    0.000    0.059    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\__init__.py:133(check_shape)
     3474    0.032    0.000    0.042    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2799(nonsingular)
    20556    0.032    0.000    0.386    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:829(from_extents)
    10367    0.032    0.000    0.153    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\path.py:98(__init__)
    30731    0.032    0.000    0.042    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\deprecation.py:476(deprecate_method_override)
    31440    0.031    0.000    0.163    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\input.py:5(process_inputs)
    18838    0.031    0.000    0.066    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1358(set_dash_capstyle)
     9536    0.031    0.000    0.110    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1609(_set_formatter)
    54616    0.031    0.000    0.059    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1257(set_ydata)
    18650    0.031    0.000    1.404    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:271(get_transform)
    33668    0.031    0.000    0.272    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:137(is_color_like)
    33668    0.031    0.000    0.307    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\colors.py:150(_check_color_like)
     4561    0.031    0.000    0.064    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:650(translated)
    67055    0.030    0.000    0.083    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\__init__.py:1116(is_interactive)
   142050    0.030    0.000    0.059    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:222(<lambda>)
     7718    0.030    0.000    0.033    0.000 D:\Programs\Conda\lib\site-packages\pkg_resources\_vendor\packaging\version.py:187(_parse_version_parts)
    40449    0.030    0.000    0.127    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:993(set_visible)
    17576    0.030    0.000    0.089    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2546(__init__)
    17375    0.030    0.000    0.363    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1992(rotate_deg_around)
      396    0.029    0.000   11.809    0.030 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:1172(cla)
    21756    0.029    0.000    0.047    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1312(is_math_text)
    33755    0.029    0.000    0.096    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1325(_to_unmasked_float_array)
   134006    0.029    0.000    0.029    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backend_bases.py:1763(_idle_draw_cntx)
      100    0.028    0.000    0.091    0.001 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\population.py:40(have_sex)
    18838    0.028    0.000    0.316    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1203(set_markerfacecolor)
    18892    0.028    0.000    0.441    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:930(copy)
    14480    0.028    0.000    0.694    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:1240(set_fontproperties)
     2765    0.028    0.000    0.703    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\backends\backend_agg.py:190(draw_text)
    19038    0.027    0.000    0.111    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:726(set_transform)
    27672    0.027    0.000    0.059    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:949(set_horizontalalignment)
    29515    0.027    0.000    0.103    0.000 <__array_function__ internals>:2(dot)
    98776    0.027    0.000    0.027    0.000 D:\Programs\Conda\lib\enum.py:580(__new__)
      363    0.027    0.000    0.027    0.000 {built-in method nt.listdir}
    12838    0.026    0.000    0.079    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2638(__init__)
    41466    0.026    0.000    0.054    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:66(_scale_dashes)
    14630    0.026    0.000    0.043    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:253(set_rotation_mode)
     9214    0.026    0.000    0.296    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1447(transform)
     8750    0.026    0.000    0.092    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\stride_tricks.py:204(broadcast_arrays)
   207858    0.025    0.000    0.025    0.000 {built-in method builtins.callable}
    34162    0.025    0.000    0.053    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:781(set_family)
    18938    0.025    0.000    0.047    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1058(set_drawstyle)
     4768    0.025    0.000    0.250    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2157(set_params)
   167914    0.025    0.000    0.025    0.000 D:\Programs\Conda\lib\inspect.py:2882(parameters)
    17375    0.025    0.000    0.417    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\patches.py:854(get_bbox)
     7836    0.025    0.000    0.173    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:287(_get_layout)
    18838    0.024    0.000    0.054    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1093(set_linewidth)
    67922    0.024    0.000    0.024    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
    18838    0.024    0.000    0.076    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:641(set_data)
    60984    0.024    0.000    0.070    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:193(convert_xunits)
        1    0.024    0.024    0.346    0.346 {built-in method pygame.display.set_mode}
    18838    0.023    0.000    0.169    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1217(set_markerfacecoloralt)
    12392    0.023    0.000    0.389    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:1159(set_marker)
     4768    0.023    0.000    0.581    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\scale.py:96(set_default_locators_and_formatters)
   100395    0.022    0.000    0.025    0.000 {built-in method builtins.setattr}
     7836    0.022    0.000    0.103    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:834(get_prop_tup)
    48170    0.022    0.000    0.031    0.000 D:\Programs\Conda\lib\site-packages\numpy\lib\function_base.py:244(iterable)
     1632    0.021    0.000    0.073    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:808(_compute_offset)
    61136    0.021    0.000    0.054    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:205(convert_yunits)
     3576    0.021    0.000    7.441    0.002 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:773(clear)
    68324    0.021    0.000    0.029    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:1009(_normalize_font_family)
8298/7698    0.020    0.000    0.186    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axes\_base.py:766(_unstale_viewLim)
48189/33607    0.020    0.000    0.080    0.000 {built-in method builtins.hash}
    10367    0.020    0.000    0.038    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\path.py:190(_update_values)
     4768    0.020    0.000    0.074    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:1635(set_major_locator)
     4768    0.020    0.000    0.047    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2151(_staircase)
     5326    0.020    0.000    0.020    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:2879(_interval_contains_close)
    87489    0.020    0.000    0.020    0.000 {built-in method builtins.delattr}
    20556    0.020    0.000    0.218    0.000 <__array_function__ internals>:2(reshape)
     1632    0.019    0.000    0.048    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:847(_set_order_of_magnitude)
    67793    0.019    0.000    0.028    0.000 {built-in method builtins.hasattr}
     5530    0.019    0.000    0.019    0.000 {built-in method builtins.round}
